,author,title
527,Александр Тамоников,Боевые асы наркома
528,Александр Шкляревский,Рассказ судебного следователя
529,Яков Лович,Шанхайцы
530,Яков Лович,Комплект в 2-х томах
531,Юрий Тынянов,Кюхля
532,Иван Тургенев,Полное собрание романов в одном томе
533,Михаил Булгаков,Багровый остров
534,Михаил Булгаков,Сборник
535,Николай Гоголь,Полное собрание повестей в одном томе
536,Виктор Соснора,Ретро-реализм
537,Виктор Соснора,Мои друзья
538,Козьма Прутков,Козьма Прутков
539,Козьма Прутков,"Писатель, которого не было"
540,Антон Чехов,Святая простота
541,Николай Лейкин,Шуты гороховые
542,Лев Толстой,Шедевр мировой литературы в одном томе
543,Лев Толстой,Крейцерова соната
544,Александр Лурия,Потерянный и возвращенный мир
545,Михаил Салтыков-Щедрин,Пошехонская старина
546,Евгений Салиас,Названец
547,Евгений Салиас,Камер-юнгфера
548,Евгений Салиас,"Роман, повесть"
549,Юрий Бондарев,Батальоны просят огня
550,Саша Черный,Солдатские сказки
551,Саша Черный,21 сказка
552,Николай Задорнов,Хэда
553,Николай Задорнов,Гонконг
554,Борис Савинков,Конь бледный
555,Борис Савинков,Конь вороной
556,Валентин Распутин,Век живи — век люби
557,Валентин Распутин,"Повести, рассказы"
558,Валентин Распутин,Повести
559,Николай Оцуп,Беатриче в аду
560,Николай Лейкин,Меж трех огней
561,Николай Лейкин,Роман из актерской жизни
562,Исаак Бабель,Одесса - Петроград
563,Исаак Бабель,Работа над рассказом
564,Леон Богданов,Заметки о чаепитии и землетрясениях
565,Леон Богданов,Избранная проза
566,Александр Пушкин,Каменный гость
567,Вера Крыжановская,Два сфинкса
568,Дмитрий Мережковский,Рождение богов
569,Дмитрий Мережковский,Тутанкамон на Крите
570,Лидия Чарская,Тасино горе
571,Станислав Гагарин,Мясной Бор
572,Сергей Друковцов,Бабушкины сказки
573,Иван Тургенев,Муму
574,Иван Тургенев,Сборник
575,Михаил Пыляев,Старый Петербург
576,Владимир Набоков,Дар
577,Михаил Арцыбашев,Санин
578,Александр Островский,Сердце не камень
579,Константин Вагинов,Козлиная песнь
580,Константин Вагинов,Собрание произведений
581,Юрий Казаков,Двое в декабре
582,Александр Куприн,Звезда Соломона
583,Валентин Пикуль,Честь имею
584,Валентин Пикуль,Исповедь офицера Российского Генштаба
585,Михаил Арцыбашев,"Женщина, стоящая посреди"
586,Михаил Щепкин,Записки актера Щепкина
587,Лев Толстой,Отец Сергий
588,Михаил Лермонтов,Маскарад
589,Николай Толстой,Пришествие Короля
590,Всеволод Соловьев,Касимовская невеста
591,Всеволод Соловьев,Княжна Острожская
592,Александр Островский,Бешеные деньги
593,Дмитрий Мережковский,Маленькая Тереза
594,Леонид Андреев,Сборник рассказов
595,Конкордия Антарова,Две жизни
596,Конкордия Антарова,Все книги в одной
597,Конкордия Антарова,Обновленная редакция
598,Николай Задорнов,Симода
599,Николай Задорнов,Цунами
600,Николай Брешко-Брешковский,Шпионы и солдаты
601,Эмма Выгодская,Опасный беглец
602,Владимир Тан-Богораз,Союз молодых
603,Николай Шпанов,Ученик чародея
604,Эдуард Гранстрем,Два героя
605,Николай Шпанов,Первый удар
606,Борис Крамаренко,Плавни
607,Василий Анучин,По горам и лесам
608,Николай Брешко-Брешковский,Ремесло сатаны
609,Сергей Мстиславский,Грач - птица весенняя
610,Георгий Брянцев,Клинок эмира
611,Василий Ганибесов,Старатели
612,Лев Толстой,Дьявол
613,Лев Овалов,Майор Пронин и тайны чёрной магии
614,Валентин Распутин,Уроки французского
615,Елена Коркина,Ариадна Эфрон
616,Елена Коркина,Рассказанная жизнь
617,Сергей Павлов,Чердак Вселенной
618,Антон Чехов,Архиерей
619,Андрей Болотов,Шерлок Холмс в Санкт-Петербурге
620,Александр Пушкин,Пир во время чумы
621,Николай Гоголь,Женитьба
622,Лидия Чарская,Записки институтки
623,Александр Герцен,Былое и думы
624,Александр Герцен,Эмиграция
625,Валентин Пикуль,Псы господни
626,Валентин Пикуль,"Жирная, грязная и продажная"
627,Валентин Пикуль,Янычары
628,Александр Пушкин,Скупой рыцарь
629,Илья Ильф,Ильфиада
630,Илья Ильф,Комплект из 2 книг
631,Аркадий Аверченко,О маленьких для больших
632,Даниил Мордовцев,Москва слезам не верит
633,Иван Шмелев,Пути небесные
634,Иван Шмелев,Том I
635,Лидия Чарская,Гимназистки
636,Черный паук или Сатана в тюрьме,
637,Александр Беляев,Голова профессора Доуэля
638,Мария Левберг,"""Любовью и мечтой играя…"" Лирика"
639,Мария Левберг,Театр
640,Мария Левберг,Проза
641,Неол Рудин,Гул Москвы
642,Неол Рудин,Бессюжетные поэмы и другие произведения
643,Алексей Иванов,Остров мертвых
644,Алексей Иванов,Книга рассказов и повестей
645,Виктор Некрасов,Повесть
646,Варлам Шаламов,Книга 2
647,Иван Тургенев,Рудин
648,Вера Крыжановская,Царица Хатасу
649,Антон Чехов,Пьесы
650,Кондратий Рылеев,Думы
651,Лидия Чарская,Грозная дружина
652,Павел Мельников-Печерский,В лесах
653,Вера Крыжановская,Смерть планеты
654,Лев Толстой,Живой труп
655,Лев Толстой,Первая русская книга для чтения
656,Максим Горький,Варвары
657,Антон Чехов,Скучная история
658,Максим Горький,Дети солнца
659,Сергей Аксаков,Рассказы и воспоминания охотника о разных охотах
660,Николай Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем"
661,Даниил Мордовцев,Сидение раскольников в Соловках
662,Николай Томан,Последний козырь
663,Николай Лесков,Запечатленный ангел
664,Николай Лесков,Сборник
665,Александр Герцен,Детская и университет
666,Александр Герцен,Тюрьма и ссылка
667,Александр Островский,Гроза и другие пьесы
668,Михаил Михайлов,Скромная доля
669,Валентин Распутин,Нежданно-негаданно
670,Валентин Распутин,Рассказы
671,Валентин Распутин,Деньги для Марии
672,Александр Волков,Волшебник Изумрудного города
673,Александр Волков,Урфин Джюс и его деревянные солдаты
674,Иван Тургенев,Стихотворения в прозе
675,Антон Чехов,Чайка
676,Антон Чехов,Дядя Ваня
677,Антон Чехов,Три сестры
